text,label
"Yeni deneyimler beni her zaman heyecanlandırır, bu da öyle.",positive
"Bu film çok sıkıcıydı, zaman kaybı.",negative
"Yemekler harikaydı, kesinlikle tekrar geleceğim.",positive
"Bu kitap beni hiç etkilemedi, tavsiye etmiyorum.",negative
"Bu şarkı çok güzel, sürekli dinlemek istiyorum.",positive
"Bu ürün kalitesiz, hayal kırıklığına uğradım.",negative
"Bu restoranın hizmeti mükemmel, çok memnun kaldım.",positive
"Bu telefon çok yavaş, hiç memnun değilim.",negative
"Bu tam benlik beh.",positive
"Birkaç oyun dışında, oyunlarla hiç aram yoktur.",negative
"Yazdığım bu kod satırları beni çok yordu",negative
"Müziğin ritmi tam istediğim gibi akıyor",positive
"Hata ayıklamaktan (debug) başım ağrıdı artık",negative
"Yarınki antrenman için çok heyecanlıyım",positive
"Bu akşam biraz sessizlik ve kahve iyi gelecek",neutral
"Veritabanı bağlantı hatası almak canımı sıktı",negative
"Yeni bir beat hazırladım, çok enerjik oldu",positive
"Mutfak Disiplini yazım için güzel fikirlerim var",positive
"Bugün hava çok kasvetli, hiçbir şey yapasım yok",negative
"Kodlarım tertemiz ve modüler oldu, içim rahat",positive
"CSS center yapmak yine vaktimi aldı",negative
"Sadece oturup yağmuru izliyorum",neutral
"Yeni projem Sahnesen için çok umutluyum",positive
"Bilgisayarın fan sesi kafa şişiriyor",negative
"İngilizce çalışmak bazen gerçekten zorlayıcı",negative
"YÖKDİL sınavına hazırlanırken disiplinimi koruyorum",positive
"Şu an sadece sakin bir müzik dinlemek istiyorum",neutral
"Frontend kısmındaki animasyonlar çok akıcı oldu",positive
"Bugün kendimi çok halsiz hissediyorum",negative
"React componentleri arasında kayboldum",negative
"Kahvemi aldım, ekranın karşısına geçtim",neutral
"FL Studio'da yeni pluginler denemek çok keyifli",positive
"İnternet hızı çok düşük, sayfa yüklenmiyor",negative
"Akşam koşusu beni çok rahatlattı",positive
"Sadece boş boş tavana bakıyorum",neutral
"Latteart yapmayı denedim, sonuç fena olmadı",positive
"Bugün hava parçalı bulutlu.",neutral
"Masamın üzerinde üç tane kitap duruyor.",neutral
"Yeni bir tarayıcı sekmesi açtım.",neutral
"GitHub reposu oluşturuyorum.",neutral
"Saat şu an 18.30.",neutral
"API isteği 200 OK döndü.",neutral
"Kodları repoya pushladım.",neutral
"Veritabanı yedeği alındı.",neutral
"Parçanın BPM'si 128.",neutral
"Bugün 30 dakika koşu yaptım.",neutral

